hidden_size,static_size,dynamic_size,num_layers,dropout,checkpoint,test,epoch_max,train_size,line_unit_price,station_price,result_path,actor_lr,critic_lr,station_num_lim,budget,max_grad_norm,environment,reward,ses_weight,var_lambda,groups_file,model,ggi_weight,no_log,use_abs,avg_generated_line,mean_sat_group_od,mean_sat_group_od_pct,mean_sat_od_by_group,mean_sat_od_by_group_pct,group_gini,group_pct_gini,group_pct_diff,mean_distance,mean_group_distance
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,group,0.0,5.0,price_groups_5.txt,amsterdam_20220706_11_10_18.815363,,,,"[[9, 25], [11, 21], [11, 22], [11, 23], [12, 20], [12, 21], [13, 19], [13, 20], [14, 19], [15, 19], [16, 17], [16, 18], [16, 19], [17, 17], [18, 16], [18, 17], [19, 15], [19, 16], [20, 14], [20, 15]]",28.85668635368347,0.017900070175528526,"[0.09752631187438965, 2.233182430267334, 5.656406879425049, 13.973641395568848, 6.895929336547852]","[0.0003628606658757876, 0.006631197469472825, 0.01324980145757785, 0.033512070015012385, 0.04238931689504553]",0.44932362193459896,0.4615258228099114,0.9937316631964029,11.435233116149902,"[19.612903594970703, 9.071428298950195, 7.207792282104492, 8.383562088012695, 12.61963176727295]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,group,0.0,1.0,price_groups_5.txt,amsterdam_20220706_13_22_40.759893,,,,"[[10, 11], [12, 13], [12, 14], [12, 15], [12, 16], [13, 16], [14, 16], [14, 17], [15, 17], [15, 18], [16, 18], [16, 19], [17, 19], [17, 20], [18, 20], [18, 21], [19, 21], [19, 22], [19, 23], [20, 23]]",29.016212582588196,0.01799902692437172,"[1.5900756120681763, 6.052813529968262, 8.194454193115234, 6.917384147644043, 6.2614850997924805]","[0.0059161049392602175, 0.01797318536054915, 0.019195028474159086, 0.016589509871785788, 0.03848938455938127]",0.19400640575972208,0.2760792994867895,0.987942919578711,12.734456062316895,"[14.161290168762207, 10.655843734741211, 8.266233444213867, 8.51369857788086, 21.343557357788086]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,weighted,0.0,0.0,price_groups_5.txt,amsterdam_20220706_16_56_53.419288,,,,"[[10, 12], [12, 14], [12, 15], [12, 16], [13, 16], [14, 16], [14, 17], [15, 17], [15, 18], [15, 19], [15, 20], [16, 20], [16, 21], [17, 21], [17, 22], [18, 22], [18, 23], [18, 24], [18, 25], [18, 26]]",32.00319945812225,0.019851883873343468,"[0.8854955434799194, 5.8739447593688965, 12.519174575805664, 9.779204368591309, 2.945380210876465]","[0.0032946134880093036, 0.01744205358963322, 0.02932543239517489, 0.023452826089788593, 0.018105268926340328]",0.376227161434346,0.25353541602225177,0.9858525598983761,11.308290481567383,"[13.129032135009766, 9.720779418945312, 7.805194854736328, 7.075342655181885, 18.177913665771484]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.0005,0.0005,20,125,2.0,amsterdam,ggi,0.0,0.0,price_groups_5.txt,amsterdam_20220708_11_22_20.353109,4.0,False,False,"[[9, 8], [11, 10], [11, 11], [11, 12], [11, 13], [12, 13], [12, 14], [12, 15], [13, 15], [13, 16], [14, 16], [14, 17], [14, 18], [15, 18], [15, 19], [15, 20], [16, 20], [16, 21], [17, 21], [17, 22]]",25.132980823516846,0.015590221621096134,"[3.8489959239959717, 6.14884090423584, 6.495900630950928, 5.950830459594727, 2.68841290473938]","[0.014320742752306725, 0.01825832842482046, 0.015216266347692986, 0.014271487392874269, 0.01652568943242341]",0.1577977638591234,0.05180457110032037,0.9960624143274862,13.053109169006348,"[16.47096824645996, 10.623376846313477, 8.707792282104492, 8.102739334106445, 20.638036727905273]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,ggi,0.0,0.0,price_groups_5.txt,amsterdam_20220708_11_15_50.617569,2.0,False,False,"[[15, 13], [15, 14], [15, 15], [15, 16], [15, 17], [15, 18], [15, 19], [15, 20], [15, 21], [15, 22], [15, 23], [15, 24], [15, 25], [15, 26], [16, 8], [16, 9], [16, 10], [16, 11], [17, 8], [18, 8]]",21.966177463531494,0.013625823892652988,"[3.3310394287109375, 4.982326984405518, 5.161424160003662, 5.537098407745361, 2.9542884826660156]","[0.012393611138677324, 0.014794489533540246, 0.012090333460125025, 0.01327926087893014, 0.018160028123751636]",0.12739594029168283,0.08224398115507085,0.9975991216051371,10.168394088745117,"[14.309677124023438, 8.435065269470215, 6.149350643157959, 5.6027398109436035, 15.75460147857666]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,ggi,0.0,0.0,price_groups_5.txt,amsterdam_20220710_11_21_38.762823,4.0,False,True,"[[10, 29], [12, 9], [12, 10], [12, 11], [12, 12], [12, 13], [12, 14], [12, 15], [12, 16], [12, 17], [12, 18], [12, 19], [12, 20], [12, 21], [12, 22], [12, 23], [12, 24], [12, 25], [12, 26], [12, 27]]",18.424858450889587,0.01142911147326231,"[3.929442882537842, 4.131669521331787, 5.342862129211426, 3.1257991790771484, 1.8950847387313843]","[0.014620057228401973, 0.01226855276273759, 0.012515341264569487, 0.007496399684002147, 0.011649096679007388]",0.17153836257196814,0.10325330324400764,0.9976484955343357,9.465025901794434,"[15.399999618530273, 7.344155788421631, 7.9805192947387695, 6.013698577880859, 10.319018363952637]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.0005,0.0005,20,125,2.0,amsterdam,group,0.0,1.0,price_groups_5.txt,amsterdam_20220706_16_14_25.539480,,,,"[[10, 11], [12, 13], [12, 14], [12, 15], [12, 16], [13, 16], [14, 16], [14, 17], [14, 18], [15, 18], [15, 19], [16, 19], [16, 20], [17, 20], [18, 20], [18, 21], [19, 21], [19, 22], [19, 23], [20, 23]]",29.28139293193817,0.018163520842790604,"[1.5911282300949097, 6.0573930740356445, 8.243812561035156, 7.065268516540527, 6.323790550231934]","[0.005920021355976409, 0.017986783829093134, 0.01931064755693545, 0.016944171279237998, 0.03887237651798053]",0.19552681988394696,0.27574847519026,0.9879332375268832,12.720207214355469,"[14.161290168762207, 10.655843734741211, 8.253246307373047, 8.479452133178711, 21.319019317626953]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,ggi,0.0,0.0,price_groups_5.txt,amsterdam_20220708_11_19_19.847005,4.0,False,False,"[[9, 8], [11, 10], [11, 11], [11, 12], [11, 13], [12, 13], [12, 14], [12, 15], [12, 16], [13, 16], [14, 16], [14, 17], [15, 17], [15, 18], [15, 19], [15, 20], [16, 20], [16, 21], [17, 21], [17, 22]]",25.329420804977417,0.01571207493543625,"[3.8722710609436035, 6.288240432739258, 6.522604465484619, 5.956075191497803, 2.690229654312134]","[0.01440734124587065, 0.01867226048345076, 0.015278818514336873, 0.014284065490291424, 0.016536857002391138]",0.15919383347541344,0.05509470205709963,0.9957350807624199,13.024611473083496,"[16.47096824645996, 10.577921867370605, 8.694805145263672, 8.027397155761719, 20.62576675415039]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.0015,0.0015,20,125,2.0,amsterdam,ggi,0.0,0.0,price_groups_5.txt,amsterdam_20220708_11_21_23.191428,2.0,False,False,"[[9, 10], [11, 10], [11, 11], [11, 12], [11, 13], [12, 13], [12, 14], [12, 15], [13, 15], [13, 16], [14, 16], [14, 17], [15, 17], [15, 18], [15, 19], [15, 20], [16, 20], [16, 21], [17, 21], [17, 22]]",25.226215839385986,0.01564805582165718,"[3.91070294380188, 6.156618595123291, 6.515374183654785, 5.954258918762207, 2.6892611980438232]","[0.014550332591865316, 0.018281423449853878, 0.015261882003090466, 0.014279709642208694, 0.016530903896195742]",0.1569500821774346,0.05061323677389673,0.9962689091420114,13.055699348449707,"[16.47096824645996, 10.662337303161621, 8.720779418945312, 8.075342178344727, 20.62576675415039]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,ggi,0.0,0.0,price_groups_5.txt,amsterdam_20220707_16_34_31.223104,4.0,False,,"[[25, 28], [25, 29], [26, 29], [26, 30], [27, 30], [27, 31], [28, 31], [28, 32], [29, 32], [29, 33], [30, 33], [30, 34], [31, 34], [31, 35], [32, 35], [32, 36], [33, 36], [33, 37], [34, 38], [34, 39]]",6.047896862030029,0.003751566866412759,"[6.047896862030029, 0.0, 0.0, 0.0, 0.0]","[0.0225020698550643, 0.0, 0.0, 0.0, 0.0]",0.8,0.8,0.9774979301449357,18.095855712890625,"[9.741935729980469, 22.201297760009766, 15.811688423156738, 18.97945213317871, 23.527606964111328]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,rawls,0.0,0.0,price_groups_5.txt,amsterdam_20220706_14_01_39.431117,,,,"[[9, 6], [10, 6], [10, 7], [10, 8], [11, 8], [11, 9], [12, 9], [12, 10], [12, 11], [12, 12], [12, 13], [12, 14], [12, 15], [12, 16], [13, 16], [13, 17], [13, 18], [14, 18], [14, 19], [16, 21]]",16.311055466532707,0.010117900557816029,"[5.1844563484191895, 4.833939552307129, 4.8117756843566895, 1.3422236442565918, 0.1386602371931076]","[0.019289515276803497, 0.014353868852087628, 0.011271302407193056, 0.003218967158867818, 0.0008523452675144781]",0.3331067853548326,0.39202419245207576,0.9950643535752841,13.380828857421875,"[17.70322608947754, 10.545454978942871, 9.045454978942871, 8.102739334106445, 20.773006439208984]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,group,0.0,3.0,price_groups_5.txt,amsterdam_20220706_11_15_16.765435,,,,"[[11, 21], [11, 22], [11, 23], [12, 21], [13, 19], [13, 20], [13, 21], [14, 19], [15, 19], [16, 17], [16, 18], [16, 19], [17, 17], [18, 16], [18, 17], [19, 15], [19, 16], [20, 14], [20, 15], [22, 12]]",27.19405961036682,0.016868729144334793,"[0.0, 2.2197816371917725, 3.4987549781799316, 13.628043174743652, 7.847479820251465]","[0.0, 0.006591405241159013, 0.008195628390563781, 0.03268324441075505, 0.04823850313620538]",0.48369070309768913,0.5122574707671902,0.993408594758841,12.13601016998291,"[19.74193572998047, 9.603896141052246, 7.201298713684082, 8.534246444702148, 15.184048652648926]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,weighted,0.0,0.0,price_groups_5.txt,amsterdam_20220706_23_16_07.539907,,,,"[[9, 13], [11, 15], [11, 16], [12, 16], [13, 16], [14, 16], [14, 17], [15, 17], [15, 18], [15, 19], [15, 20], [16, 20], [16, 21], [17, 21], [17, 22], [18, 22], [18, 23], [19, 23], [19, 24], [20, 24]]",29.290120840072632,0.018168935552239418,"[0.0, 6.18602180480957, 12.44572639465332, 7.71695613861084, 2.9414165019989014]","[0.0, 0.018368733150585622, 0.02915338433738247, 0.018507071070387834, 0.018080903985301815]",0.40514673992509226,0.2793145696724343,0.9816312668494144,12.334197044372559,"[13.677419662475586, 10.331169128417969, 8.214285850524902, 8.109588623046875, 20.62576675415039]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,ggi,0.0,0.0,price_groups_5.txt,amsterdam_20220710_11_10_48.163656,2.0,False,True,"[[9, 8], [11, 10], [11, 11], [11, 12], [11, 13], [12, 13], [12, 14], [12, 15], [13, 15], [13, 16], [14, 16], [14, 17], [15, 17], [15, 18], [15, 19], [16, 19], [16, 20], [16, 21], [17, 21], [17, 22]]",24.911137580871582,0.015452610328793526,"[3.844296455383301, 6.140262603759766, 6.467515468597412, 4.64752197265625, 3.8115410804748535]","[0.014303257703633374, 0.018232856074851044, 0.015149775769214053, 0.011145847910005311, 0.02342956472341335]",0.12216085917270103,0.13856834862784434,0.9960704016287824,13.062175750732422,"[16.47096824645996, 10.707792282104492, 8.720779418945312, 8.102739334106445, 20.588956832885742]"
128,2,1,1,0.1,,False,3500,128,1.0,5.0,,0.001,0.001,20,125,2.0,amsterdam,ggi,0.0,0.0,price_groups_5.txt,amsterdam_20220707_16_32_01.158223,2.0,False,,"[[5, 4], [7, 6], [9, 8], [10, 10], [11, 12], [11, 13], [12, 14], [12, 15], [13, 16], [13, 17], [14, 17], [14, 18], [14, 19], [15, 19], [15, 20], [15, 21], [15, 22], [15, 23], [16, 23], [16, 24]]",18.85577702522278,0.011696415022015572,"[1.4578146934509277, 2.3562777042388916, 5.645263671875, 6.459514141082764, 2.9369068145751953]","[0.005424009174779649, 0.006996715780113727, 0.013223699147262128, 0.015491430188524308, 0.01805318291103153]",0.2819801028643683,0.22810346967386347,0.998427293394666,11.86269474029541,"[15.567742347717285, 9.629870414733887, 8.181818008422852, 7.041095733642578, 18.245399475097656]"
