WK_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,p_w_migr,p_nw_migr
WK036300,4295,3040,0.154,0.5760000000000001,0.128,0.2,1400,715,34.5,468.15999999999997,2571.84,1751.0400000000002,389.12,,0.16647264260768335
WK036301,4120,2915,0.12300000000000001,0.552,0.142,0.3,1570,680,36.7,358.545,2556.455,1609.0800000000002,413.92999999999995,,0.1650485436893204
WK036302,6370,4105,0.083,0.39,0.319,0.5,2110,685,59.5,340.71500000000003,3764.285,1600.95,1309.4950000000001,,0.1075353218210361
WK036303,5380,3405,0.087,0.41200000000000003,0.28300000000000003,0.5,1725,690,63.1,296.23499999999996,3108.765,1402.8600000000001,963.6150000000001,,0.12825278810408922
WK036304,9670,6435,0.124,0.527,0.17300000000000001,0.4,2655,1465,38.3,797.9399999999999,5637.06,3391.2450000000003,1113.255,,0.1514994829369183
WK036305,9310,5720,0.127,0.489,0.201,0.6,2300,1660,38.1,726.44,4993.5599999999995,2797.08,1149.72,,0.17830290010741137
WK036306,19420,13000,0.13699999999999998,0.5429999999999999,0.163,0.3,5235,2735,40.3,1780.9999999999998,11219.0,7058.999999999999,2119.0,,0.14083419155509783
WK036307,7255,4645,0.1,0.44299999999999995,0.23800000000000002,0.4,2190,900,48.8,464.5,4180.5,2057.7349999999997,1105.51,,0.12405237767057202
WK036308,7740,4585,0.109,0.473,0.225,0.4,2060,1320,42.7,499.765,4085.235,2168.705,1031.625,,0.17054263565891473
WK036309,13245,7945,0.13699999999999998,0.528,0.16899999999999998,0.4,2790,3185,32.3,1088.465,6856.535,4194.96,1342.705,,0.2404681011702529
WK036310,175,135,0.385,0.77,0.071,,50,35,,51.975,83.025,103.95,9.584999999999999,,0.2
WK036311,860,735,0.166,0.784,0.022000000000000002,,390,280,,122.01,612.99,576.24,16.17,,0.32558139534883723
WK036312,2395,1265,0.08199999999999999,0.265,0.39799999999999996,0.5,535,310,,103.72999999999999,1161.27,335.225,503.46999999999997,,0.12943632567849686
WK036313,10785,6190,0.172,0.5670000000000001,0.128,0.4,1980,3465,28.3,1064.6799999999998,5125.32,3509.7300000000005,792.32,,0.32127955493741306
WK036314,13165,7975,0.145,0.509,0.159,0.3,3040,3345,32.5,1156.375,6818.625,4059.275,1268.025,,0.2540827952905431
WK036315,2480,1275,0.10300000000000001,0.426,0.21,0.5,485,655,,131.32500000000002,1143.675,543.15,267.75,,0.26411290322580644
WK036316,8310,5145,0.142,0.517,0.166,0.3,1945,1800,35.3,730.5899999999999,4414.41,2659.965,854.07,,0.21660649819494585
WK036317,4640,2890,0.10400000000000001,0.475,0.21,0.4,1215,745,38.8,300.56,2589.44,1372.75,606.9,,0.16056034482758622
WK036318,6525,3870,0.13,0.5,0.177,0.3,1470,1540,36.2,503.1,3366.9,1935.0,684.99,,0.23601532567049807
WK036319,7025,4510,0.163,0.5770000000000001,0.12,0.3,1540,2180,30.9,735.13,3774.87,2602.2700000000004,541.1999999999999,,0.3103202846975089
WK036320,7460,4585,0.111,0.45799999999999996,0.22899999999999998,0.4,1985,1020,42.2,508.935,4076.065,2099.93,1049.965,,0.13672922252010725
WK036321,7915,4830,0.094,0.44299999999999995,0.239,0.3,2160,1115,42.1,454.02,4375.98,2139.6899999999996,1154.37,,0.1408717624763108
WK036322,1835,1020,0.09699999999999999,0.435,0.3,0.5,535,285,,98.93999999999998,921.0600000000001,443.7,306.0,,0.1553133514986376
WK036323,3845,2650,0.045,0.514,0.244,1.1,1085,1430,56.6,119.25,2530.75,1362.1000000000001,646.6,,0.3719115734720416
WK036324,14755,9795,0.13,0.524,0.174,0.3,4035,2835,37.8,1273.3500000000001,8521.65,5132.58,1704.33,,0.19213825821755337
WK036325,12375,7885,0.13,0.526,0.17600000000000002,0.3,3040,2660,36.1,1025.05,6859.95,4147.51,1387.7600000000002,,0.21494949494949495
WK036326,8195,4860,0.182,0.618,0.105,0.3,1565,2830,26.1,884.52,3975.48,3003.48,510.29999999999995,,0.34533251982916413
WK036327,5830,3605,0.09699999999999999,0.433,0.24600000000000002,0.3,1425,1120,40.8,349.68499999999995,3255.315,1560.965,886.83,,0.19210977701543738
WK036328,10855,6490,0.16899999999999998,0.561,0.152,0.3,2040,3775,30.4,1096.81,5393.1900000000005,3640.8900000000003,986.48,,0.3477660064486412
WK036329,10185,5855,0.158,0.568,0.15,0.3,1710,3765,29.4,925.09,4929.91,3325.64,878.25,,0.3696612665684831
WK036330,9250,5025,0.184,0.565,0.136,0.3,1370,4080,25.8,924.6,4100.4,2839.1249999999995,683.4000000000001,,0.4410810810810811
WK036331,12625,7060,0.168,0.545,0.129,0.3,2200,5680,26.6,1186.0800000000002,5873.92,3847.7000000000003,910.74,,0.4499009900990099
WK036332,10055,5260,0.19,0.585,0.105,0.4,1350,5285,23.3,999.4,4260.6,3077.1,552.3,,0.5256091496767777
WK036333,18840,9550,0.085,0.322,0.308,0.6,3645,4135,38.7,811.7500000000001,8738.25,3075.1,2941.4,,0.21947983014861996
WK036334,3650,2445,0.11,0.607,0.131,0.3,855,990,28.4,268.95,2176.05,1484.115,320.295,,0.27123287671232876
WK036335,15460,6185,0.08900000000000001,0.297,0.354,0.7,2605,5380,33.5,550.465,5634.535,1836.945,2189.49,,0.34799482535575677
WK036336,545,315,0.151,0.36700000000000005,0.278,0.9,140,85,,47.565,267.435,115.60500000000002,87.57000000000001,,0.1559633027522936
WK036337,18890,10335,0.16,0.537,0.127,0.4,3180,8230,26.3,1653.6000000000001,8681.4,5549.895,1312.545,,0.43568025410269984
WK036338,5885,3385,0.09300000000000001,0.439,0.162,0.4,1165,1755,31.3,314.80500000000006,3070.1949999999997,1486.015,548.37,,0.2982158028887001
WK036339,10160,5205,0.188,0.591,0.109,0.4,1310,6120,21.8,978.54,4226.46,3076.1549999999997,567.345,,0.6023622047244095
WK036340,6815,4065,0.11599999999999999,0.48200000000000004,0.175,0.3,1545,1380,33.2,471.53999999999996,3593.46,1959.3300000000002,711.375,,0.202494497432135
WK036341,7515,3395,0.182,0.593,0.1,0.4,1115,3660,26.7,617.89,2777.11,2013.235,339.5,,0.4870259481037924
WK036342,10360,6060,0.156,0.5489999999999999,0.126,0.4,1920,3720,28.7,945.36,5114.64,3326.9399999999996,763.5600000000001,,0.3590733590733591
WK036343,6920,4000,0.095,0.462,0.205,0.4,1540,1370,35.0,380.0,3620.0,1848.0,820.0,,0.19797687861271676
WK036344,11810,7085,0.084,0.428,0.231,0.5,2775,1670,39.7,595.14,6489.86,3032.38,1636.635,,0.14140558848433532
WK036345,3930,2510,0.11900000000000001,0.506,0.18100000000000002,0.4,965,765,39.1,298.69,2211.31,1270.06,454.31000000000006,,0.1946564885496183
WK036346,5495,2645,0.071,0.273,0.455,0.7,1730,655,74.4,187.795,2457.205,722.085,1203.4750000000001,,0.1191992720655141
WK036347,12725,6855,0.065,0.32799999999999996,0.376,0.6,3915,1300,64.2,445.575,6409.425,2248.4399999999996,2577.48,,0.10216110019646366
WK036348,11820,6850,0.128,0.495,0.195,0.5,2560,2730,36.4,876.8000000000001,5973.2,3390.75,1335.75,,0.23096446700507614
WK036349,8630,4075,0.057999999999999996,0.266,0.47600000000000003,0.8,2715,890,64.3,236.35,3838.65,1083.95,1939.7,,0.10312862108922363
WK036350,0,0,,,,,0,0,,,,,,,
WK036351,8250,3135,0.092,0.294,0.34700000000000003,0.7,1315,3135,31.1,288.42,2846.58,921.6899999999999,1087.845,,0.38
WK036352,15100,8435,0.078,0.426,0.272,0.5,3340,1895,40.7,657.93,7777.07,3593.31,2294.32,,0.12549668874172185
WK036353,5305,3330,0.128,0.5660000000000001,0.14400000000000002,0.4,1065,1115,31.9,426.24,2903.76,1884.7800000000002,479.52000000000004,,0.21017907634307256
WK036354,9105,5715,0.141,0.5489999999999999,0.157,0.4,1705,1820,34.1,805.8149999999999,4909.185,3137.5349999999994,897.255,,0.19989017023613398
WK036355,11300,6360,0.12300000000000001,0.5720000000000001,0.165,0.5,2035,3060,31.0,782.2800000000001,5577.72,3637.9200000000005,1049.4,,0.27079646017699116
WK036356,15870,8550,0.083,0.47100000000000003,0.26,0.5,3325,2435,35.7,709.6500000000001,7840.35,4027.05,2223.0,,0.1534341524889729
WK036357,3260,1965,0.16899999999999998,0.6509999999999999,0.065,0.5,410,855,23.3,332.085,1632.915,1279.215,127.72500000000001,,0.26226993865030673
WK036358,4795,3200,0.092,0.617,0.165,0.4,1125,960,36.9,294.4,2905.6,1974.4,528.0,,0.20020855057351408
WK036359,1335,665,0.032,0.20199999999999999,0.431,0.9,400,190,,21.28,643.72,134.32999999999998,286.615,,0.14232209737827714
WK036360,9645,5030,0.20600000000000002,0.644,0.069,0.5,1185,3900,20.2,1036.18,3993.8199999999997,3239.32,347.07000000000005,,0.40435458786936235
WK036361,8270,4405,0.196,0.605,0.091,0.5,1170,3680,21.8,863.38,3541.62,2665.025,400.85499999999996,,0.4449818621523579
WK036362,3525,1850,0.114,0.588,0.10400000000000001,0.7,390,515,23.0,210.9,1639.1,1087.8,192.4,,0.14609929078014183
WK036363,1880,930,0.14800000000000002,0.574,0.102,0.7,210,390,,137.64000000000001,792.36,533.8199999999999,94.86,,0.2074468085106383
WK036364,1685,645,0.027999999999999997,0.161,0.517,0.9,265,80,,18.06,626.94,103.845,333.46500000000003,,0.04747774480712166
WK036365,11710,5475,0.12300000000000001,0.518,0.139,0.7,1285,3195,23.1,673.4250000000001,4801.575,2836.05,761.0250000000001,,0.27284372331340734
WK036366,8895,4065,0.109,0.44299999999999995,0.174,0.8,1080,2850,24.2,443.085,3621.915,1800.7949999999998,707.31,,0.32040472175379425
WK036367,3285,1360,0.07,0.3,0.322,1.0,350,600,29.2,95.2,1264.8,408.0,437.92,,0.182648401826484
WK036368,13185,5880,0.15,0.515,0.10800000000000001,0.6,1575,7605,20.2,882.0,4998.0,3028.2000000000003,635.0400000000001,,0.5767918088737202
WK036369,11125,5945,0.146,0.597,0.073,0.5,1635,5040,21.2,867.9699999999999,5077.03,3549.165,433.98499999999996,,0.45303370786516856
WK036370,14415,6510,0.154,0.545,0.121,0.6,1640,7390,20.9,1002.54,5507.46,3547.9500000000003,787.7099999999999,,0.5126604231703087
WK036371,4055,2580,0.095,0.523,0.23,1.1,815,845,34.7,245.1,2334.9,1349.3400000000001,593.4,,0.20838471023427868
WK036372,325,230,0.10800000000000001,0.624,0.059000000000000004,1.3,135,80,,24.840000000000003,205.16,143.52,13.57,,0.24615384615384617
WK036373,2310,950,0.052000000000000005,0.23199999999999998,0.409,1.2,240,95,,49.400000000000006,900.6,220.39999999999998,388.54999999999995,,0.04112554112554113
WK036374,2850,1170,0.107,0.319,0.342,0.8,425,920,29.9,125.19,1044.81,373.23,400.14000000000004,,0.32280701754385965
WK036375,6205,3260,0.155,0.51,0.177,0.4,1080,2190,28.7,505.3,2754.7,1662.6000000000001,577.02,,0.35294117647058826
WK036376,9345,4485,0.21100000000000002,0.607,0.084,0.5,1205,5940,19.1,946.3350000000002,3538.665,2722.395,376.74,,0.6356340288924559
WK036377,17975,8660,0.193,0.599,0.08800000000000001,0.5,2210,11175,19.6,1671.38,6988.62,5187.34,762.08,,0.6216968011126565
WK036378,16255,7005,0.185,0.5529999999999999,0.10800000000000001,0.6,1845,10935,18.9,1295.925,5709.075,3873.7649999999994,756.5400000000001,,0.6727160873577361
WK036379,2445,1035,0.086,0.365,0.19899999999999998,1.0,310,1145,,89.00999999999999,945.99,377.775,205.96499999999997,,0.46830265848670755
WK036380,1125,395,0.124,0.414,0.27899999999999997,1.3,115,380,,48.98,346.02,163.53,110.20499999999998,,0.3377777777777778
WK036381,16290,8630,0.154,0.59,0.106,0.6,2420,8130,22.8,1329.02,7300.98,5091.7,914.78,,0.4990791896869245
WK036382,15755,7030,0.157,0.527,0.125,0.6,1990,10375,20.9,1103.71,5926.29,3704.81,878.75,,0.658521104411298
WK036383,6130,2765,0.122,0.534,0.09699999999999999,0.7,960,3345,20.5,337.33,2427.67,1476.51,268.205,,0.5456769983686787
WK036384,14530,5920,0.07,0.332,0.293,0.9,1755,6485,28.3,414.40000000000003,5505.6,1965.44,1734.56,,0.4463179628355127
WK036385,8060,3760,0.145,0.529,0.159,0.6,1305,3695,23.8,545.1999999999999,3214.8,1989.0400000000002,597.84,,0.45843672456575685
WK036386,13915,7310,0.115,0.509,0.136,0.4,2365,7485,24.8,840.6500000000001,6469.35,3720.79,994.1600000000001,,0.5379087315846209
WK036387,10575,6515,0.132,0.5710000000000001,0.14300000000000002,0.3,2655,4015,31.7,859.98,5655.02,3720.0650000000005,931.6450000000001,,0.3796690307328605
WK036388,13960,6195,0.057,0.309,0.294,0.9,2315,4055,31.2,353.115,5841.885,1914.2549999999999,1821.33,,0.2904727793696275
WK036389,10640,5690,0.14800000000000002,0.618,0.10099999999999999,0.4,1780,5340,22.4,842.1200000000001,4847.88,3516.42,574.6899999999999,,0.5018796992481203
WK036390,13530,7795,0.078,0.457,0.21100000000000002,0.6,3705,3275,37.6,608.01,7186.99,3562.315,1644.7450000000001,,0.24205469327420548
WK036391,7915,4515,0.09300000000000001,0.47600000000000003,0.18100000000000002,0.6,2030,2220,34.8,419.89500000000004,4095.105,2149.1400000000003,817.2150000000001,,0.2804801010739103
WK036392,710,565,0.183,0.892,0.024,,130,275,,103.395,461.605,503.98,13.56,,0.3873239436619718
WK036393,24170,13475,0.204,0.682,0.057,0.4,2785,17355,19.3,2748.8999999999996,10726.1,9189.95,768.075,,0.7180388911874225
WK036394,29455,15495,0.172,0.594,0.096,0.5,3085,20075,21.5,2665.14,12829.86,9204.029999999999,1487.52,,0.6815481242573417
WK036395,2920,1770,0.071,0.46299999999999997,0.091,0.6,565,985,29.5,125.66999999999999,1644.33,819.51,161.07,,0.3373287671232877
WK036396,18255,9175,0.156,0.574,0.085,0.5,1790,11390,20.7,1431.3,7743.7,5266.45,779.875,,0.6239386469460422
WK036397,11435,5590,0.131,0.48200000000000004,0.134,0.7,1345,6010,23.8,732.2900000000001,4857.71,2694.38,749.0600000000001,,0.5255793616090949
WK036398,1605,675,0.048,0.313,0.271,1.1,160,175,,32.4,642.6,211.275,182.925,,0.10903426791277258
